Skin;Bodytype;Hairstyle;Haircolor;Eyes;Clothes;Poses;Locate;Expression;Light Source;Lighting Type;ShotSize;Composition;FocalLength;Camera Angle;LensType;Color;Accessories;Extra1;Extra2;Extra3
pale skin;with athletic body;Ponytail;black;blue;casual outfit;standing confidently;in her bedroom;smiling softly, looking straight ahead, mouth closed,;Sunny Lighting;Soft Lighting;Extreme Close-up Shot;Center Composition;Medium Lens;Over-the-shoulder Shot;Clean Single Shot;Warm Colors;;;;
fair skin;with curvy body;Piggytail;blond;green;white t-shirt and light blue jeans;sitting gracefully;in her kitchen;smiling softly, looking to the side, mouth slightly open,;Artificial Lighting;Hard Lighting;Close-up Shot;Balanced Composition;Wide Lens;High Angle Shot;Two Shot;Cool Colors;;;;
tanned skin;with THICC body;Bun;white;brown;oversized plaid shirt and black leggings;lying down peacefully;in a living room;smiling softly, looking up, lips parted,;Moonlighting;Top Lighting;Medium Shot;Left-weighted composition;Long-focus Lens;Low Angle Shot;Three Shot;Saturated Colors;;;;
pale skin;with elf body;Double bun;autumn;brown;hoodie and matching sweatpants;walking with a slight bounce;in a bathroom;slight smile, looking straight ahead, mouth closed,;Practical Lighting;Side Lighting;Medium Close-up Shot;Right-weighted composition;Telephoto Lens;Dutch Angle Shot;Group Shot;Desaturated Colors;;;;
fair skin;with fit body;Long;red;full black;high-waisted denim shorts and cotton crop top;looking over shoulder;in a garage;slight smile, looking to the side, lips parted,;Firelighting;Medium Lens;Medium Wide Shot;Symmetrical Composition;Fisheye Lens;Aerial Shot;Establishing Shot;;;;;
tanned skin;with hybrid human and bunny body;Curvy;purple;red;flowy floral sundress;hands on hips;in a backyard;smirking, looking straight ahead, mouth closed,;Fluorescent Lighting;Underlighting;Wide Shot;Short-side Composition;;High Angle Shot;;;;;;
pale skin;with hybrid human and cat body;Short;green;purple;solid jersey maxi dress;arms crossed;on a balcony;smirking, looking to the side, lips slightly parted,;Overcast Lighting;Edge Lighting;Wide-angle Lens;;;;;;;;;
fair skin;with hybrid human and fox body;Square;blue;pink;denim jacket and short pleated skirt;leaning against a wall;on a rooftop;grinning, looking straight ahead, mouth open,;Mixed Lighting;Silhouette Lighting;;;;;;;;;;
pale skin;with human body;Very long;dark;blue and green;chunky knit sweater and ripped skinny jeans;one hand in pocket;in a hallway;grinning, looking up, lips parted,;;High Contrast Lighting;;;;;;;;;;
fair skin;with human body;Medium lenght;light brown;purple and grey;corduroy A-line skirt and simple blouse;adjusting hair;in a basement;smiling with full teeth, looking straight ahead, mouth open,;;;;;;;;;;;;
;with human body;Wavy;brown;red and grey;off-the-shoulder top and wide-leg linen pants;blowing a kiss;in an attic;smiling with full teeth, looking down, lips parted,;;;;;;;;;;;;
